model,num_exits,exit,threshold_mode,macro_f1,micro_f1,samples_f1,exact_match,hamming_loss,avg_true_labels,avg_pred_labels
3exit_nohint,3,3,fixed_0p5,0.5319,0.592,0.5598,0.3034,0.1065,1.5618,1.0478
3exit_nohint,3,3,tuned,0.6301,0.6361,0.6576,0.2725,0.1247,1.5618,1.8652
3exit_nohint_posweight,3,3,fixed_0p5,0.6422,0.6379,0.6663,0.25,0.1368,1.5618,2.2163
3exit_nohint_posweight,3,3,tuned,0.653,0.6427,0.658,0.2978,0.1256,1.5618,1.9522
5exit_nohint,5,5,fixed_0p5,0.5302,0.5852,0.5545,0.3062,0.1067,1.5618,1.0112
5exit_nohint,5,5,tuned,0.6152,0.6454,0.6639,0.3343,0.1157,1.5618,1.7022
5exit_nohint_posweight,5,5,fixed_0p5,0.6159,0.5931,0.6319,0.2556,0.1626,1.5618,2.4354
5exit_nohint_posweight,5,5,tuned,0.6232,0.6085,0.6341,0.264,0.1424,1.5618,2.0758
