model,macro_f1,micro_f1,samples_f1,exact_match,hamming_loss
TATA v0.6 3-exit fixed,0.8164,0.8272,0.8264,0.6594,0.0474
TATA v0.6 3-exit tuned,0.8291,0.8121,0.8075,0.5977,0.0543
