label,aggregation,precision,recall,f1,support,predicted_positive
audience_reaction_present,mean,0.6666666666666666,0.06896551724137931,0.125,29,3
audience_reaction_present,global_max,0.41025641025641024,0.5517241379310345,0.47058823529411764,29,39
audience_reaction_present,label_aware,0.41025641025641024,0.5517241379310345,0.47058823529411764,29,39
silence_present,mean,0.0,0.0,0.0,12,0
silence_present,global_max,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11
silence_present,label_aware,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11
