dataset,parent_clips,segments,removed_source_classes,seed_segments,raw_expanded_segments,final_combined_segments
v0.7 filtered holdout,441.0,2205.0,Les_Brown; Mel_Robbins; Oprah_Winfrey; Rabin_Sharma; Simon_Sinek,,,
v0.7 final expanded training manifest,,,,12469.0,12150.0,24619.0
